Time,Load
0,9.36E+13
0.0004,9.36E+13
0.0004025,0
5,0
5.0000025,9.36E+13
5.0004,9.36E+13
5.0004025,0
10,0
10.0000025,9.36E+13
10.0004,9.36E+13
10.0004025,0
15,0
15.0000025,9.36E+13
15.0004,9.36E+13
15.0004025,0
20,0
20.0000025,9.36E+13
20.0004,9.36E+13
20.0004025,0
25,0
25.0000025,9.36E+13
25.0004,9.36E+13
25.0004025,0
30,0
30.0000025,9.36E+13
30.0004,9.36E+13
30.0004025,0
35,0
35.0000025,9.36E+13
35.0004,9.36E+13
35.0004025,0
40,0
40.0000025,9.36E+13
40.0004,9.36E+13
40.0004025,0
45,0
45.0000025,9.36E+13
45.0004,9.36E+13
45.0004025,0
50,0
50.0000025,9.36E+13
50.0004,9.36E+13
50.0004025,0
55,0
55.0000025,9.36E+13
55.0004,9.36E+13
55.0004025,0
60,0
60.0000025,9.36E+13
60.0004,9.36E+13
60.0004025,0
65,0
65.0000025,9.36E+13
65.0004,9.36E+13
65.0004025,0
70,0
70.0000025,9.36E+13
70.0004,9.36E+13
70.0004025,0
75,0
75.0000025,9.36E+13
75.0004,9.36E+13
75.0004025,0
80,0
80.0000025,9.36E+13
80.0004,9.36E+13
80.0004025,0
85,0
85.0000025,9.36E+13
85.0004,9.36E+13
85.0004025,0
90,0
90.0000025,9.36E+13
90.0004,9.36E+13
90.0004025,0
95,0
95.0000025,9.36E+13
95.0004,9.36E+13
95.0004025,0
100,0
100.0000025,9.36E+13
100.0004,9.36E+13
100.0004025,0
105,0
105.0000025,9.36E+13
105.0004,9.36E+13
105.0004025,0
110,0
110.0000025,9.36E+13
110.0004,9.36E+13
110.0004025,0
115,0
115.0000025,9.36E+13
115.0004,9.36E+13
115.0004025,0
120,0
120.0000025,9.36E+13
120.0004,9.36E+13
120.0004025,0
125,0
125.0000025,9.36E+13
125.0004,9.36E+13
125.0004025,0
130,0
130.0000025,9.36E+13
130.0004,9.36E+13
130.0004025,0
135,0
135.0000025,9.36E+13
135.0004,9.36E+13
135.0004025,0
140,0
140.0000025,9.36E+13
140.0004,9.36E+13
140.0004025,0
145,0
145.0000025,9.36E+13
145.0004,9.36E+13
145.0004025,0
150,0
150.0000025,9.36E+13
150.0004,9.36E+13
150.0004025,0
155,0
155.0000025,9.36E+13
155.0004,9.36E+13
155.0004025,0
160,0
160.0000025,9.36E+13
160.0004,9.36E+13
160.0004025,0
165,0
165.0000025,9.36E+13
165.0004,9.36E+13
165.0004025,0
170,0
170.0000025,9.36E+13
170.0004,9.36E+13
170.0004025,0
175,0
175.0000025,9.36E+13
175.0004,9.36E+13
175.0004025,0
180,0
180.0000025,9.36E+13
180.0004,9.36E+13
180.0004025,0
185,0
185.0000025,9.36E+13
185.0004,9.36E+13
185.0004025,0
190,0
190.0000025,9.36E+13
190.0004,9.36E+13
190.0004025,0
195,0
195.0000025,9.36E+13
195.0004,9.36E+13
195.0004025,0
200,0
200.0000025,9.36E+13
200.0004,9.36E+13
200.0004025,0
205,0
205.0000025,9.36E+13
205.0004,9.36E+13
205.0004025,0
210,0
210.0000025,9.36E+13
210.0004,9.36E+13
210.0004025,0
215,0
215.0000025,9.36E+13
215.0004,9.36E+13
215.0004025,0
220,0
220.0000025,9.36E+13
220.0004,9.36E+13
220.0004025,0
225,0
225.0000025,9.36E+13
225.0004,9.36E+13
225.0004025,0
230,0
230.0000025,9.36E+13
230.0004,9.36E+13
230.0004025,0
235,0
235.0000025,9.36E+13
235.0004,9.36E+13
235.0004025,0
240,0
240.0000025,9.36E+13
240.0004,9.36E+13
240.0004025,0
245,0
245.0000025,9.36E+13
245.0004,9.36E+13
245.0004025,0
250,0
250.0000025,9.36E+13
250.0004,9.36E+13
250.0004025,0
255,0
255.0000025,9.36E+13
255.0004,9.36E+13
255.0004025,0
260,0
260.0000025,9.36E+13
260.0004,9.36E+13
260.0004025,0
265,0
265.0000025,9.36E+13
265.0004,9.36E+13
265.0004025,0
270,0
270.0000025,9.36E+13
270.0004,9.36E+13
270.0004025,0
275,0
275.0000025,9.36E+13
275.0004,9.36E+13
275.0004025,0
280,0
280.0000025,9.36E+13
280.0004,9.36E+13
280.0004025,0
285,0
285.0000025,9.36E+13
285.0004,9.36E+13
285.0004025,0
290,0
290.0000025,9.36E+13
290.0004,9.36E+13
290.0004025,0
295,0
295.0000025,9.36E+13
295.0004,9.36E+13
295.0004025,0
300,0
300.0000025,9.36E+13
300.0004,9.36E+13
300.0004025,0
305,0
305.0000025,9.36E+13
305.0004,9.36E+13
305.0004025,0
310,0
310.0000025,9.36E+13
310.0004,9.36E+13
310.0004025,0
315,0
315.0000025,9.36E+13
315.0004,9.36E+13
315.0004025,0
320,0
320.0000025,9.36E+13
320.0004,9.36E+13
320.0004025,0
325,0
325.0000025,9.36E+13
325.0004,9.36E+13
325.0004025,0
330,0
330.0000025,9.36E+13
330.0004,9.36E+13
330.0004025,0
335,0
335.0000025,9.36E+13
335.0004,9.36E+13
335.0004025,0
340,0
340.0000025,9.36E+13
340.0004,9.36E+13
340.0004025,0
345,0
345.0000025,9.36E+13
345.0004,9.36E+13
345.0004025,0
350,0
350.0000025,9.36E+13
350.0004,9.36E+13
350.0004025,0
355,0
355.0000025,9.36E+13
355.0004,9.36E+13
355.0004025,0
360,0
360.0000025,9.36E+13
360.0004,9.36E+13
360.0004025,0
365,0
365.0000025,9.36E+13
365.0004,9.36E+13
365.0004025,0
370,0
370.0000025,9.36E+13
370.0004,9.36E+13
370.0004025,0
375,0
375.0000025,9.36E+13
375.0004,9.36E+13
375.0004025,0
380,0
380.0000025,9.36E+13
380.0004,9.36E+13
380.0004025,0
385,0
385.0000025,9.36E+13
385.0004,9.36E+13
385.0004025,0
390,0
390.0000025,9.36E+13
390.0004,9.36E+13
390.0004025,0
395,0
395.0000025,9.36E+13
395.0004,9.36E+13
395.0004025,0
400,0
400.0000025,9.36E+13
400.0004,9.36E+13
400.0004025,0
405,0
405.0000025,9.36E+13
405.0004,9.36E+13
405.0004025,0
410,0
410.0000025,9.36E+13
410.0004,9.36E+13
410.0004025,0
415,0
415.0000025,9.36E+13
415.0004,9.36E+13
415.0004025,0
420,0
420.0000025,9.36E+13
420.0004,9.36E+13
420.0004025,0
425,0
425.0000025,9.36E+13
425.0004,9.36E+13
425.0004025,0
430,0
430.0000025,9.36E+13
430.0004,9.36E+13
430.0004025,0
435,0
435.0000025,9.36E+13
435.0004,9.36E+13
435.0004025,0
440,0
440.0000025,9.36E+13
440.0004,9.36E+13
440.0004025,0
445,0
445.0000025,9.36E+13
445.0004,9.36E+13
445.0004025,0
450,0
450.0000025,9.36E+13
450.0004,9.36E+13
450.0004025,0
455,0
455.0000025,9.36E+13
455.0004,9.36E+13
455.0004025,0
460,0
460.0000025,9.36E+13
460.0004,9.36E+13
460.0004025,0
465,0
465.0000025,9.36E+13
465.0004,9.36E+13
465.0004025,0
470,0
470.0000025,9.36E+13
470.0004,9.36E+13
470.0004025,0
475,0
475.0000025,9.36E+13
475.0004,9.36E+13
475.0004025,0
480,0
480.0000025,9.36E+13
480.0004,9.36E+13
480.0004025,0
485,0
485.0000025,9.36E+13
485.0004,9.36E+13
485.0004025,0
490,0
490.0000025,9.36E+13
490.0004,9.36E+13
490.0004025,0
495,0
495.0000025,9.36E+13
495.0004,9.36E+13
495.0004025,0
500,0
500.0000025,9.36E+13
500.0004,9.36E+13
500.0004025,0
505,0
505.0000025,9.36E+13
505.0004,9.36E+13
505.0004025,0
510,0
510.0000025,9.36E+13
510.0004,9.36E+13
510.0004025,0
515,0
515.0000025,9.36E+13
515.0004,9.36E+13
515.0004025,0
520,0
520.0000025,9.36E+13
520.0004,9.36E+13
520.0004025,0
525,0
525.0000025,9.36E+13
525.0004,9.36E+13
525.0004025,0
530,0
530.0000025,9.36E+13
530.0004,9.36E+13
530.0004025,0
535,0
535.0000025,9.36E+13
535.0004,9.36E+13
535.0004025,0
540,0
540.0000025,9.36E+13
540.0004,9.36E+13
540.0004025,0
545,0
545.0000025,9.36E+13
545.0004,9.36E+13
545.0004025,0
550,0
550.0000025,9.36E+13
550.0004,9.36E+13
550.0004025,0
555,0
555.0000025,9.36E+13
555.0004,9.36E+13
555.0004025,0
560,0
560.0000025,9.36E+13
560.0004,9.36E+13
560.0004025,0
565,0
565.0000025,9.36E+13
565.0004,9.36E+13
565.0004025,0
570,0
570.0000025,9.36E+13
570.0004,9.36E+13
570.0004025,0
575,0
575.0000025,9.36E+13
575.0004,9.36E+13
575.0004025,0
580,0
580.0000025,9.36E+13
580.0004,9.36E+13
580.0004025,0
585,0
585.0000025,9.36E+13
585.0004,9.36E+13
585.0004025,0
590,0
590.0000025,9.36E+13
590.0004,9.36E+13
590.0004025,0
595,0
595.0000025,9.36E+13
595.0004,9.36E+13
595.0004025,0
600,0
600.0000025,9.36E+13
600.0004,9.36E+13
600.0004025,0
605,0
605.0000025,9.36E+13
605.0004,9.36E+13
605.0004025,0
610,0
610.0000025,9.36E+13
610.0004,9.36E+13
610.0004025,0
615,0
615.0000025,9.36E+13
615.0004,9.36E+13
615.0004025,0
620,0
620.0000025,9.36E+13
620.0004,9.36E+13
620.0004025,0
625,0
625.0000025,9.36E+13
625.0004,9.36E+13
625.0004025,0
630,0
630.0000025,9.36E+13
630.0004,9.36E+13
630.0004025,0
635,0
635.0000025,9.36E+13
635.0004,9.36E+13
635.0004025,0
640,0
640.0000025,9.36E+13
640.0004,9.36E+13
640.0004025,0
645,0
645.0000025,9.36E+13
645.0004,9.36E+13
645.0004025,0
650,0
650.0000025,9.36E+13
650.0004,9.36E+13
650.0004025,0
655,0
655.0000025,9.36E+13
655.0004,9.36E+13
655.0004025,0
660,0
660.0000025,9.36E+13
660.0004,9.36E+13
660.0004025,0
665,0
665.0000025,9.36E+13
665.0004,9.36E+13
665.0004025,0
670,0
670.0000025,9.36E+13
670.0004,9.36E+13
670.0004025,0
675,0
675.0000025,9.36E+13
675.0004,9.36E+13
675.0004025,0
680,0
680.0000025,9.36E+13
680.0004,9.36E+13
680.0004025,0
685,0
685.0000025,9.36E+13
685.0004,9.36E+13
685.0004025,0
690,0
690.0000025,9.36E+13
690.0004,9.36E+13
690.0004025,0
695,0
695.0000025,9.36E+13
695.0004,9.36E+13
695.0004025,0
700,0
700.0000025,9.36E+13
700.0004,9.36E+13
700.0004025,0
705,0
705.0000025,9.36E+13
705.0004,9.36E+13
705.0004025,0
710,0
710.0000025,9.36E+13
710.0004,9.36E+13
710.0004025,0
715,0
715.0000025,9.36E+13
715.0004,9.36E+13
715.0004025,0
720,0
720.0000025,9.36E+13
720.0004,9.36E+13
720.0004025,0
725,0
725.0000025,9.36E+13
725.0004,9.36E+13
725.0004025,0
730,0
730.0000025,9.36E+13
730.0004,9.36E+13
730.0004025,0
735,0
735.0000025,9.36E+13
735.0004,9.36E+13
735.0004025,0
740,0
740.0000025,9.36E+13
740.0004,9.36E+13
740.0004025,0
745,0
745.0000025,9.36E+13
745.0004,9.36E+13
745.0004025,0
750,0
750.0000025,9.36E+13
750.0004,9.36E+13
750.0004025,0
755,0
755.0000025,9.36E+13
755.0004,9.36E+13
755.0004025,0
760,0
760.0000025,9.36E+13
760.0004,9.36E+13
760.0004025,0
765,0
765.0000025,9.36E+13
765.0004,9.36E+13
765.0004025,0
770,0
770.0000025,9.36E+13
770.0004,9.36E+13
770.0004025,0
775,0
775.0000025,9.36E+13
775.0004,9.36E+13
775.0004025,0
780,0
780.0000025,9.36E+13
780.0004,9.36E+13
780.0004025,0
785,0
785.0000025,9.36E+13
785.0004,9.36E+13
785.0004025,0
790,0
790.0000025,9.36E+13
790.0004,9.36E+13
790.0004025,0
795,0
795.0000025,9.36E+13
795.0004,9.36E+13
795.0004025,0
800,0
800.0000025,9.36E+13
800.0004,9.36E+13
800.0004025,0
805,0
805.0000025,9.36E+13
